LCSC#,Mfr.,Mrf#,Description,Package,Value,,Quantity,
C14445,,,1uF ±10% 10V Ceramic Capacitor X5R 0402,Capacitor_SMD:C_0402_1005Metric,,-,2,
C22435935,,,100nF ±10% 10V Ceramic Capacitor X7R 0402,Capacitor_SMD:C_0402_1005Metric,,-,10,
C19702,,,10uF ±10% 10V Ceramic Capacitor X5R 0603,Capacitor_SMD:C_0603_1608Metric,,-,2,
C441742,,,15pF ±1% 50V Ceramic Capacitor C0G 0402,Capacitor_SMD:C_0402_1005Metric,,-,2,
C2927038,,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,,-,1,
C429964,,,-,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,1,
C429964,,,Pin Header 20 Position 2.54mm Pitch Single Row Through Hole -40℃~+105℃,Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical,,-,2,
C114765,,,22Ω 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,Resistor_SMD:R_0402_1005Metric,,-,2,
C105872,,,5.1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,Resistor_SMD:R_0402_1005Metric,,-,3,
C60490,,,62.5mW 10kΩ 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,Resistor_SMD:R_0402_1005Metric,,-,1,
C106235,,,1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,Resistor_SMD:R_0402_1005Metric,,-,1,
C49393608,,,"SPST-NO Round Button Surface Mount,Vertical 12V 2.6N SMD Pushbutton Switches RoHS",Library:pushSwitch,,-,1,
C2040,,,133MHz 30 LQFN-56(7x7) Microcontrollers RoHS,Package_DFN_QFN:QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,-,1,
C5252899,,,"6.5V Positive Fixed 3.3V SOT-23 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",Package_TO_SOT_SMD:SOT-23,,-,1,
C377853,,,2.7V~3.6V 16Mbit 133MHz SPI WSON-8(5x6) Memory (ICs) RoHS,Package_SON:Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,-,1,
C20625731,,,SMD3225-4P Crystals RoHS,Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,,-,1,
,,,,,,,,
